Output,RG,RF,RZ,RP,RYM,RZM,CG,CF,CZ,CP,CYM,CZM
11.58273,0.2731775266,0.0517095041,1408.87543537,105.200595543,-1027.28393555,0.0358453016,0.2161709513,0.1094728038,1408.87543537,149.925677957,-1027.28393555,0.0358453016
11.58438,0.2787164442,0.058095401,1483.06606925,106.306404903,-1025.50964355,-0.2665356317,0.2188230628,0.1065907654,1489.86362161,151.175561906,-1025.50964355,-0.2665356317
11.6025228571,0.277077715,0.1732172842,1513.23328421,95.7919034091,-1021.81738281,2.446394559,0.2188945588,0.1341759534,1452.8585266,134.331737176,-1021.81738281,2.446394559
11.6577871429,0.2653993683,0.0731087025,1557.82709867,106.722556939,-1023.2800293,-0.1866859615,0.2131440535,0.1146857945,1541.03960213,151.804820356,-1023.2800293,-0.1866859615
11.6620528571,0.2742617225,0.0746841305,1465.06258177,104.60354989,-1026.9855957,0.16652015,0.2149938244,0.1102295283,1448.46375347,149.365129182,-1026.9855957,0.16652015
11.6989957143,0.2738501706,0.0509527797,1470.06483449,107.698034068,-1028.62194824,0.1294964512,0.2157505489,0.1090524014,1467.14444034,151.770846762,-1028.62194824,0.1294964512
11.7069271429,0.2661817444,0.0711092969,1506.16120231,114.187466896,-1023.32434082,-0.2313258431,0.2141530195,0.1122474601,1493.74223625,161.518216232,-1023.32434082,-0.2313258431
11.7129485714,0.2697385869,0.0870124474,1624.64430506,105.595179967,-1019.10290527,-0.3202411248,0.2110521071,0.1111597154,1594.95101508,152.087648411,-1019.10290527,-0.3202411248
11.9427742857,0.2679569738,0.0546006801,1481.68306282,111.379315776,-1019.35021973,-0.8302913735,0.2122808258,0.1102768281,1481.10432353,157.041683825,-1019.35021973,-0.8302913735
12.16201,0.2695370844,0.0557368154,1534.15817841,110.25390625,-1019.12658691,0.0082236944,0.2139109803,0.1114119689,1543.90258241,156.89338347,-1019.12658691,0.0082236944
12.2781742857,0.2703919436,0.05710459,1502.03176504,112.076822917,-1025.21936035,0.061845846,0.2161083887,0.1117300886,1494.60680064,158.639319831,-1025.21936035,0.061845846
12.3321528571,0.2725178801,0.0520483085,1531.79648263,110.943903689,-1017.38171387,-0.5561094141,0.2137147831,0.1104477999,1534.55822077,157.004794343,-1017.38171387,-0.5561094141
12.3724385714,0.2654562569,0.0833262691,1623.1604498,113.529673794,-1018.5435791,-0.0264742519,0.2118929521,0.113934504,1599.09286687,160.776396726,-1018.5435791,-0.0264742519
12.3391385714,0.2716646072,0.0917485029,1634.69895507,112.028301887,-1019.18200684,-0.2690331093,0.2133325629,0.1132672299,1616.04102752,159.332925603,-1019.18200684,-0.2690331093
12.3186242857,0.2735679693,0.0784708122,1592.69419737,104.15381716,-1015.64050293,-1.224194659,0.2172300656,0.1116499275,1588.38021275,147.353721092,-1015.64050293,-1.224194659
12.2383314286,0.27351001,0.06520423,1522.20773011,108.092227225,-1021.03198242,0.1286893044,0.2156912458,0.1112224775,1511.32592883,154.984734115,-1021.03198242,0.1286893044
12.2455714286,0.2763280387,0.051044163,1453.41305509,107.898149334,-1021.30712891,-0.098413859,0.2178837335,0.1094043756,1451.79029638,154.057219616,-1021.30712891,-0.098413859
12.1842857143,0.276627611,0.0734314023,1506.71571392,105.447334156,-1020.73632812,0.1759979799,0.2161915724,0.1101559548,1495.96402392,150.394813337,-1020.73632812,0.1759979799
12.1104857143,0.2646422347,0.0737242493,1556.09434268,103.168034958,-1017.15991211,-0.933968691,0.2126598548,0.1141081151,1545.16430756,146.466317041,-1017.15991211,-0.933968691
12.0465428571,0.2808690351,0.0473440918,1384.49155979,104.256051486,-1020.68786621,-0.3351565611,0.2209951569,0.1074702476,1373.46193155,147.405976661,-1020.68786621,-0.3351565611
11.9073142857,0.276427998,0.0861739103,1401.18040915,102.281605114,-1020.2701416,-0.1955023183,0.219386936,0.1078014764,1395.78774305,147.524811692,-1020.2701416,-0.1955023183
11.8231,0.2768268927,0.060338525,1394.86492616,105.025986494,-1022.48730469,-0.3827151601,0.2171269008,0.1090680055,1387.54960144,151.668310187,-1022.48730469,-0.3827151601
11.7508714286,0.2772662785,0.0503738249,1294.9516413,103.775774846,-1020.98632812,-0.5463998498,0.2175577381,0.1100823654,1289.52855958,148.605911115,-1020.98632812,-0.5463998498
